#Supplementary material for Owens et al., Solar Physics, 2021,
#'Solar Energetic Particle 'Ground-Level Enhancements” and the Solar Cycle'
#
#GLE list and fluence values. See text for more info about each parameter.
#Code and data readers are available here: 
#https://github.com/University-of-Reading-Space-Science/ExtremeEvents
#
#Parameters are:
#Event number,GLE number,I (%.h),F30/F200,N,I,J0,Gamma,R0,F0,F1,mjd,datetime
0,5,5202 ± 104,11.0 ± 2.1,2,5202,106000000.0,4.29,5.12,8440000.0,6940000.0,35526.5,1956-02-23 12:00:00
1,6,1,,0,1,10000.0,10,10000.0,796.0,796.0,35715.5,1956-08-30 12:00:00
2,7,1,,0,1,10000.0,10,10000.0,796.0,796.0,36766.5,1959-07-17 12:00:00
3,8,58 ± 14,8.6 ± 1.9,9,58,934000.0,−0.82,0.56,74300.0,12500.0,37058.5,1960-05-04 12:00:00
4,9,1,,,1,10000.0,10,10000.0,796.0,796.0,37180.5,1960-09-03 12:00:00
5,10,677 ± 25,44.7 ± 8.4,14,677,30300000.0,0.35,0.5,2410000.0,326000.0,37250.5,1960-11-12 12:00:00
6,11,552 ± 106,51.0 ± 10.0,15,552,19500000.0,3.89,1.01,1550000.0,577000.0,37253.5,1960-11-15 12:00:00
7,12,1,,,1,365000.0,5.75,10000.0,29000.0,29000.0,37258.5,1960-11-20 12:00:00
8,13,51 ± 5,42.9 ± 12.5,13,51,2080000.0,4.76,1.38,166000.0,80200.0,37498.5,1961-07-18 12:00:00
9,14,1,,,1,10000.0,10,10000.0,796.0,796.0,37500.5,1961-07-20 12:00:00
10,15,1,,,1,10000.0,10,10000.0,796.0,796.0,39312.5,1966-07-06 12:00:00
11,16,110 ± 3,18.1 ± 5.5,19,110,2280000.0,5.05,5.3,181000.0,150000.0,39518.5,1967-01-28 12:00:00
12,18,1,,,1,10000.0,10,10000.0,796.0,796.0,40128.5,1968-09-29 12:00:00
13,19,6 ± 1,79.3 ± 22.3,15,6,123000.0,5.69,10000.0,9790.0,9790.0,40178.5,1968-11-18 12:00:00
14,20,1,,,1,212000.0,2.15,0.97,16900.0,6020.0,40277.5,1969-02-25 12:00:00
15,21,81 ± 7,18.6 ± 6.2,18,81,1010000.0,2.93,1.58,80400.0,42700.0,40310.5,1969-03-30 12:00:00
16,22,25 ± 2,91.9 ± 23.1,20,25,617000.0,4.47,2.05,49100.0,30100.0,40975.5,1971-01-24 12:00:00
17,23,88 ± 6,17.8 ± 4.7,18,88,9110000.0,2.98,0.52,725000.0,106000.0,41195.5,1971-09-01 12:00:00
18,24,35 ± 2,488.1 ± 118.2,16,35,6220000.0,12.8,10000.0,495000.0,495000.0,41533.5,1972-08-04 12:00:00
19,25,20 ± 2,87.8 ± 24.6,17,20,267000.0,5.11,10000.0,21200.0,21200.0,41536.5,1972-08-07 12:00:00
20,26,6 ± 1,30.9 ± 10.2,12,6,56100.0,2.31,1.52,4460.0,2310.0,41801.5,1973-04-29 12:00:00
21,27,6 ± 1,36.0 ± 7.3,13,6,100000.0,5.83,10000.0,7960.0,7960.0,42898.5,1976-04-30 12:00:00
22,28,4 ± 1,63.0 ± 13.2,9,4,289000.0,8.79,10000.0,23000.0,23000.0,43405.5,1977-09-19 12:00:00
23,29,52 ± 8,17.1 ± 4.2,11,52,241000.0,4.77,10000.0,19200.0,19200.0,43410.5,1977-09-24 12:00:00
24,30,37 ± 3,29.3 ± 6.7,12,37,598000.0,4.22,4.24,47600.0,37600.0,43469.5,1977-11-22 12:00:00
25,31,28 ± 7,31.4 ± 5.9,12,28,62600.0,1.45,1.83,4980.0,2880.0,43635.5,1978-05-07 12:00:00
26,32,24 ± 1,166.3 ± 51.6,13,24,312000.0,4.88,10000.0,24800.0,24800.0,43774.5,1978-09-23 12:00:00
27,33,1,,,1,10000.0,10,10000.0,796.0,796.0,44106.5,1979-08-21 12:00:00
28,34,1,,,1,10000.0,10,10000.0,796.0,796.0,44704.5,1981-04-10 12:00:00
29,35,1,,,1,10000.0,10,10000.0,796.0,796.0,44734.5,1981-05-10 12:00:00
30,36,63 ± 4,130.9 ± 24.2,11,63,578000.0,3.34,2.73,46000.0,31900.0,44889.5,1981-10-12 12:00:00
31,37,16 ± 2,40.5 ± 8.4,11,16,61700.0,2.88,3.13,4910.0,3570.0,45299.5,1982-11-26 12:00:00
